地段位置或門牌,社區簡稱,交易日期,總價(萬元),"單價
(萬元/坪)","總面積
(坪)",主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,"車位總價
(萬元)",管理組織,電梯,主要用途,備註
中正區杭州南路一段５３號十一樓之２,正隆官邸,114/01/17,8250,144.51,66.39,57.91%,住宅大樓(11層含以上有電梯),1,十一層/二十二層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,350,有,有,住家用,坡道平面車位位於地下五層。 土地價格：5270萬7千8百元整、建物價格：2979萬2千2百元整。 (成交總價內含車位價格新台幣350萬元整)
中正區廈門街８２巷２號三樓,泊樂,114/01/16,1752,64.02,27.37,100.00%,公寓(5樓含以下無電梯),49,"三層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,陽台外推;
中正區水源路１１３號十樓,雲荷,114/01/16,2888,78.12,43.02,61.42%,住宅大樓(11層含以上有電梯),18,十層/十五層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,250,有,有,住家用,坡道機械車位位於地下五層。陽台外推;其他增建;
中正區羅斯福路二段３０巷１２號四樓,,114/01/16,2600,88.5,29.38,80.77%,公寓(5樓含以下無電梯),41,四層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,陽台外推;
中正區漢口街一段５７號十三樓之６,向陽上冠,114/01/16,3750,129.59,37.88,54.93%,住宅大樓(11層含以上有電梯),1,十三層/十五層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳1衛,330,有,有,住家用,
中正區重慶南路三段３９號三樓,總統傑仕堡,114/01/13,8338,130.97,72.99,53.37%,住宅大樓(11層含以上有電梯),3,三層/二十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,330,有,有,住家用,
中正區重慶南路三段３７號十四樓,總統傑仕堡,114/01/13,10018,146.2,87.84,55.30%,住宅大樓(11層含以上有電梯),3,十四層/二十一層,房地(土地+建物)+車位,土:2 建:1車:2,3房2廳2衛,640,有,有,住家用,
中正區汀州路二段１３３巷２號四樓,,114/01/12,2368,79.26,29.88,67.05%,華廈(10層含以下有電梯),44,四層/七層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,有,住家用,陽台外推;其他增建;
中正區忠孝東路二段１２１巷３０號三樓,,114/01/12,2815,80.02,35.18,88.33%,公寓(5樓含以下無電梯),43,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,其他增建;
中正區中華路一段２５號七樓之３,中華第一,114/01/11,970,73.94,13.12,64.21%,住宅大樓(11層含以上有電梯),41,七層/十二層,房地(土地+建物),土:1 建:1車:0,1房1衛,,有,有,住家用,
中正區忠孝東路二段１２６號三樓、忠孝東路二段１２６號三樓之１,元亨無界,114/01/11,4320,112.11,39.68,62.75%,住宅大樓(11層含以上有電梯),15,三層/十三層,房地(土地+建物)+車位,土:2 建:1車:1,2房2廳2衛,245,有,有,住家用,塔式車位位於地下二層。
中正區和平西路一段１４３號五樓,大都市大廈,114/01/10,1700,67.8,25.07,71.91%,住宅大樓(11層含以上有電梯),46,五層/十二層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,有,住家用,陽台外推;
中正區水源路１１１號十樓,雲荷,114/01/10,3057,71.27,42.89,56.19%,住宅大樓(11層含以上有電梯),18,十層/十五層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳1衛,,有,有,住家用,車位標號:46號
中正區金門街４４巷６弄３號七樓,達聯好好,114/01/09,1668,107.99,15.45,45.46%,華廈(10層含以下有電梯),6,七層/七層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,陽台外推;其他增建;
中正區重慶南路三段５０號六樓,,114/01/07,3388,78.15,43.35,72.96%,住宅大樓(11層含以上有電梯),39,六層/十二層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,有,有,住家用,陽台外推;
中正區羅斯福路三段３０２號七樓之１,學士大廈,114/01/06,1668,113.53,14.69,68.38%,住宅大樓(11層含以上有電梯),42,七層/十二層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,有,住家用,陽台外推;其他增建;
中正區重慶南路三段３５號十五樓,總統傑仕堡,114/01/06,11352,149.58,94.91,54.25%,住宅大樓(11層含以上有電梯),3,十五層/二十一層,房地(土地+建物)+車位,土:2 建:1車:2,3房2廳2衛,700,有,有,住家用,
中正區重慶南路三段４３號五樓,總統傑仕堡,114/01/06,9038,137.6,75.21,55.98%,住宅大樓(11層含以上有電梯),3,五層/二十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,320,有,有,住家用,
中正區漢口街一段５７號六樓之９,向陽上冠,114/01/06,3180,120.5,26.39,54.87%,住宅大樓(11層含以上有電梯),1,六層/十五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,有,住家用,
中正區杭州南路一段１０１巷２１號五樓,,114/01/06,384.6,39.73,9.68,100.00%,華廈(10層含以下有電梯),52,"五層,陽臺/六層",房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區仁愛路一段５９號六樓,仁愛富園,114/01/06,7710,123.43,62.47,60.13%,華廈(10層含以下有電梯),29,"六層,電梯樓梯間/八層",房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,180,有,有,住家用,含租約;
中正區新生南路一段１６０巷２２之１號六樓,,114/01/05,4300,104.03,41.33,74.17%,華廈(10層含以下有電梯),41,六層/六層,房地(土地+建物),土:2 建:1車:0,5房3廳3衛,,有,有,住家用,頂樓加蓋;
中正區南昌路一段７之１號四樓之３,小官邸,114/01/04,1380,112.64,12.25,50.62%,住宅大樓(11層含以上有電梯),19,四層/十三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,陽台外推;
中正區羅斯福路四段７８巷１弄１１號五樓,,114/01/04,2568,73.93,34.74,90.06%,公寓(5樓含以下無電梯),43,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,陽台外推;頂樓加蓋;其他增建;
中正區羅斯福路三段３１６巷３號六樓之５,俋泰匯台大,114/01/03,1950,102.55,19.02,52.93%,華廈(10層含以下有電梯),13,六層/十層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,
中正區杭州南路一段１４３巷１２號,,114/01/03,950,118.2,8.04,100.00%,公寓(5樓含以下無電梯),49,"一層,平台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區杭州南路一段１４３巷１２號,,114/01/03,950,118.2,8.04,100.00%,公寓(5樓含以下無電梯),49,"一層,平台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區信義路二段２６１號十二樓之１,新美齊PARK259,114/01/03,3130,175.21,23.24,54.55%,住宅大樓(11層含以上有電梯),7,十二層/十四層,房地(土地+建物)+車位,土:12 建:1車:2,1廳,490,有,有,住家用,土地價格21910000元整 建物價格9390000元整其他增建;
中正區信義路二段２６１號十二樓,新美齊PARK259,114/01/03,7858,162.03,53.77,45.34%,住宅大樓(11層含以上有電梯),7,十二層/十四層,房地(土地+建物)+車位,土:12 建:2車:1,,470,有,有,住家用,土地價格5500.6萬元整 建物價格2357.4萬元整其他增建;
中正區杭州南路一段２７之２號二樓,,114/01/01,3788,90.27,41.96,54.41%,華廈(10層含以下有電梯),33,二層/四層,房地(土地+建物)+車位,土:3 建:1車:1,3房2廳2衛,250,無,有,住家用,陽台外推;其他增建;
